READ_TIME_Date,h1vmba1uEV22,h1vmba2uEV22,h1vmba3uEV22,h2vmba1uEV22,h2vmba2uEV22,h2vmba3uEV22,h1v0ba1uEV22,h1v0ba2uEV22,h1v0ba3uEV22,h2v0ba1uEV22,h2v0ba2uEV22,h2v0ba3uEV22,A1vmba1uEV12,A1vmba2uEV12,A1vmba3uEV12,A2vmba1uEV12,A2vmba2uEV12,A2vmba3uEV12,A1v0ba1uEV12,A1v0ba2uEV12,A1v0ba3uEV12,A2v0ba1uEV12,A2v0ba2uEV12,A2v0ba3uEV12
20/04/2017 00.00,0.603984821,0.602962559,0.431170715,0.397153467,0.707957753,0.922301274,0.473950818,0.534942541,0.685215053,0.653986577,0.685119429,0.730331385,0.518192675,0.484031495,0.612388698,0.441487649,0.553087185,0.521973742,0.425513926,0.397462472,0.502862992,0.415151347,0.520093575,0.490836159
20/04/2017 01.00,0.541729464,0.581382032,0.534825236,0.36675682,0.704355365,0.91622006,0.440098208,0.527092471,0.680756449,0.641018047,0.684684533,0.737942791,0.498710259,0.462544999,0.571524627,0.482237444,0.589326403,0.5839501,0.431617764,0.400317889,0.494636268,0.418219992,0.511092796,0.506430202
20/04/2017 02.00,0.522084821,0.60818342,0.440333333,0.434776336,0.715786013,0.942309471,0.432521807,0.537295368,0.697018049,0.617863005,0.695852725,0.744590481,0.490380783,0.422373635,0.537655271,0.426415301,0.54973456,0.545466035,0.463175776,0.398941482,0.507827603,0.38601915,0.497655846,0.493791697
20/04/2017 03.00,0.556425893,0.612756133,0.499702429,0.487430182,0.743530706,0.911331718,0.42619601,0.550453678,0.715229479,0.605962538,0.720524213,0.763570541,0.480781048,0.451077599,0.573067545,0.437044283,0.594261286,0.599443236,0.424505255,0.398278618,0.505989547,0.369957572,0.503041616,0.507428132
20/04/2017 04.00,0.537899107,0.645591804,0.653309716,0.598001421,0.790871475,0.961324486,0.487466859,0.574248289,0.742897778,0.640231156,0.768616598,0.797684593,0.490657598,0.451473077,0.559878813,0.429495266,0.609432341,0.59000651,0.455604215,0.4192191,0.519880152,0.382642202,0.542950182,0.525643489
20/04/2017 05.00,0.589726786,0.708875572,0.718205803,0.691426867,0.90942274,1.080202339,0.512435552,0.617670522,0.77187798,0.654122146,0.866935973,0.850853871,0.507720187,0.491788962,0.611874738,0.532685097,0.690429214,0.621933651,0.460103788,0.445666669,0.554490233,0.460197387,0.596475708,0.537301011
20/04/2017 06.00,0.595891964,0.844206606,0.722102564,0.973123531,1.12045636,1.188961707,0.581534291,0.676708631,0.831916649,0.711357463,0.987538424,0.94631125,0.645589837,0.595833623,0.733021985,0.608890045,0.882411683,0.794317888,0.525688777,0.48517345,0.59688274,0.484072202,0.701523978,0.631488743
20/04/2017 07.00,0.568767857,0.836956985,0.751098516,0.719222149,1.060100977,1.199906783,0.51907607,0.662607435,0.886245171,0.664282978,0.933226355,0.99572393,0.552480242,0.578244602,0.778595018,0.562475068,0.773345207,0.905578915,0.470294291,0.492225992,0.662772646,0.48871267,0.671929517,0.786822233
20/04/2017 08.00,0.595005357,0.662579245,0.60240081,0.50283848,0.858130417,1.158692518,0.432442075,0.619959103,0.879936631,0.677419651,0.828612557,1.013133784,0.472425808,0.476951504,0.721235128,0.485145805,0.648004157,0.860273297,0.447343283,0.451628696,0.682942558,0.443052369,0.591780396,0.785632109
20/04/2017 09.00,0.555203571,0.600130847,0.463205803,0.598465328,0.766353693,1.02020015,0.381687354,0.569419322,0.839645028,0.656622125,0.761519897,0.945415375,0.41088854,0.441493519,0.631233043,0.346197842,0.5713246,0.757363127,0.404874685,0.435031723,0.621994178,0.357015747,0.589177211,0.781029024
