READ_TIME_Date,h1vmba1uEV22,h1vmba2uEV22,h1vmba3uEV22,h2vmba1uEV22,h2vmba2uEV22,h2vmba3uEV22,h1v0ba1uEV22,h1v0ba2uEV22,h1v0ba3uEV22,h2v0ba1uEV22,h2v0ba2uEV22,h2v0ba3uEV22,A1vmba1uEV12,A1vmba2uEV12,A1vmba3uEV12,A2vmba1uEV12,A2vmba2uEV12,A2vmba3uEV12,A1v0ba1uEV12,A1v0ba2uEV12,A1v0ba3uEV12,A2v0ba1uEV12,A2v0ba2uEV12,A2v0ba3uEV12
13/07/2017 08.00,0.128634443,0.17023827,0.298041401,0.280280014,0.238405255,0.27663367,0.081137563,0.150301872,0.217132045,0.112031881,0.238541924,0.292360146,0.082926936,0.109122448,0.206829426,0.067089624,0.20207608,0.284242154,0.077730388,0.10228438,0.19386863,0.057411257,0.17292453,0.243237304
13/07/2017 09.00,0.001157343,0.167949513,0.344307839,0.126280693,0.234906447,0.328951971,0.119174684,0.1405424,0.214734006,0.075255454,0.226473983,0.305954519,0.076951481,0.116247979,0.230537055,0.083238593,0.236801305,0.310544396,0.067347615,0.101739745,0.201765066,0.062212604,0.176985523,0.232101181
13/07/2017 10.00,0.137512118,0.156472485,0.170293941,0.06659129,0.221976358,0.229577368,0.099304465,0.136527507,0.18785839,0.154980916,0.213320193,0.254419721,0.091090294,0.105152863,0.179927132,0.142800703,0.244114112,0.315170632,0.09443373,0.109012461,0.186531292,0.098739605,0.168792804,0.217924864
13/07/2017 11.00,0,0.157531747,0.23466498,0.122721815,0.214204376,0.296828082,0.038317035,0.124772015,0.160982079,0.147022834,0.183399927,0.232306351,0.199092651,0.189969272,0.272719265,0.224847011,0.194682817,0.310999179,0.125007968,0.119279505,0.171237266,0.167848949,0.145331291,0.232161794
13/07/2017 12.00,0,0.147646173,0.122919492,0.066878719,0.198109476,0.321926357,0.05893298,0.114192116,0.159575033,0.169370471,0.174170634,0.22560276,0.144512009,0.126396043,0.209571716,0.173381595,0.252857019,0.321934732,0.109362492,0.095652855,0.158597789,0.102216127,0.149070408,0.189794779
13/07/2017 13.00,0,0.130606488,0.463454949,0.044109176,0.188744062,0.306204748,0.114092713,0.10557226,0.147804619,0.102425037,0.157866512,0.191483379,0.140628072,0.163314741,0.259474611,0.254601756,0.256195441,0.238943424,0.077665266,0.09019453,0.143301152,0.160281354,0.161284638,0.150423847
13/07/2017 14.00,0,0.132681055,0.355737222,0,0.184836274,0.258021328,0.01504764,0.10208608,0.139481233,0.18700165,0.156311871,0.184008147,0.082664476,0.09261622,0.139170322,0.196542125,0.195885925,0.199236289,0.074380904,0.083335412,0.125224461,0.13232374,0.131881948,0.13413761
13/07/2017 15.00,0.040806672,0.141097646,0.106651723,0.058660485,0.175305999,0.242793831,0.045934701,0.092271459,0.129483426,0.159611217,0.153595503,0.172536788,0.060524585,0.090839247,0.107015201,0.117532541,0.184586037,0.12998822,0.057167753,0.085801093,0.101079892,0.119799475,0.188146279,0.132495395
13/07/2017 16.00,0.067405682,0.132667087,0.094211408,0,0.199939947,0.260887703,0.018467661,0.101576815,0.131894765,0.145077084,0.157904722,0.181597604,0.048766517,0.09266893,0.114001297,0.126019581,0.180539317,0.157002198,0.049729547,0.094498934,0.116252568,0.107890228,0.154566679,0.134415643
13/07/2017 17.00,0.351808948,0.166177129,0.225261317,0,0.249006742,0.287120784,0.064947986,0.111187705,0.143045743,0.149456872,0.186436387,0.200510882,0.068333437,0.121169138,0.136881065,0.408670113,0.281750559,0.249566717,0.066025049,0.117075895,0.132257053,0.251367488,0.173300978,0.15350513
13/07/2017 18.00,0.315450346,0.201220088,0.142450091,0,0.276018534,0.346810008,0.046536968,0.132284685,0.163900107,0.289228702,0.234974354,0.246970803,0.163417014,0.200683086,0.232292434,0.235259754,0.304337082,0.255921616,0.104813553,0.128715529,0.148989354,0.183612935,0.237525645,0.199738877
13/07/2017 19.00,0.364198639,0.199620143,0.012436673,0.328569611,0.275394413,0.385052854,0.085310039,0.124093379,0.147337592,0.242345146,0.242974818,0.231475751,0.119702015,0.150493391,0.157665837,0.141950214,0.285642238,0.193564109,0.095320613,0.119840274,0.125551807,0.12537282,0.252284036,0.170959081
13/07/2017 20.00,0.360510542,0.17654251,0.069665758,0.277854328,0.253926774,0.357514976,0.077248608,0.110432765,0.135675566,0.219511258,0.208339221,0.199648302,0.082725551,0.122587052,0.14780534,0.1901727,0.267067038,0.23193426,0.070053157,0.103808435,0.125163635,0.125309671,0.175977323,0.152827434
13/07/2017 21.00,0.399906547,0.183969712,0.287594572,0.068600228,0.233916375,0.326409842,0.134139587,0.104710141,0.137316952,0.182165787,0.196428624,0.18515663,0.096579928,0.169028793,0.210652236,0.233030916,0.30290784,0.255407167,0.057243438,0.100184266,0.124854703,0.141484611,0.183910353,0.155070341
13/07/2017 22.00,0.175845696,0.154454242,0.117651387,0.110714267,0.223593038,0.257890984,0.121873504,0.106838206,0.132261411,0.170349176,0.181259019,0.189636522,0.065729179,0.102191905,0.121680022,0.270369279,0.206294224,0.221597476,0.053696854,0.083484746,0.099405386,0.181965839,0.138841593,0.149141096
13/07/2017 23.00,0.145975828,0.131364011,0.104987755,0.11248902,0.182844704,0.235947488,0.074416095,0.102642656,0.13690926,0.129193876,0.162822371,0.183872636,0.063341215,0.101158601,0.129963451,0.157545629,0.142358539,0.190216031,0.049050195,0.078335238,0.10064115,0.117977511,0.10660471,0.142442632
14/07/2017 00.00,0.040885318,0.119926761,0.095966402,0.043663211,0.16569418,0.241438439,0.077846423,0.098496955,0.128160162,0.146741847,0.150048124,0.167715405,0.078615558,0.080754966,0.109368533,0.063506889,0.135209126,0.124928965,0.06477933,0.066542205,0.090119825,0.048399228,0.103044211,0.095209599
14/07/2017 01.00,0.067275708,0.105024737,0.312102598,0.040929648,0.15199181,0.250786732,0.053145745,0.095088465,0.130398882,0.122829654,0.145735739,0.162906013,0.109420439,0.088496444,0.121804546,0.07100226,0.135598536,0.123584365,0.075931147,0.061411163,0.084524966,0.064031221,0.122285401,0.111450787
14/07/2017 02.00,0.078204234,0.102010526,0.127728042,0.053073671,0.148408012,0.211672674,0.111253647,0.09259602,0.127649038,0.095579062,0.143478904,0.157376422,0.078009806,0.087938204,0.144805581,0.067765933,0.155639907,0.118454888,0.054752503,0.061720918,0.101634249,0.051995126,0.119418656,0.090887509
14/07/2017 03.00,0.068295411,0.104492197,0.127338447,0.05482159,0.154075918,0.203862437,0.064850105,0.096740286,0.130585318,0.120875176,0.147422578,0.160880357,0.066292466,0.062040741,0.105454421,0.045545097,0.136080192,0.157395989,0.060026841,0.056176967,0.095487408,0.035077517,0.104805029,0.12122184
14/07/2017 04.00,0.068325429,0.111052626,0.147268021,0.049143282,0.16345099,0.222708105,0.126689169,0.100420992,0.134915222,0.120515908,0.169768328,0.168252137,0.043659892,0.065154545,0.087577174,0.041281623,0.135905051,0.097666951,0.051835604,0.077355326,0.103976796,0.043812293,0.144236382,0.103654189
14/07/2017 05.00,0.109102299,0.130037532,0.095402038,0.172610002,0.205833107,0.272589915,0.147222645,0.113439432,0.147619493,0.124830975,0.211458293,0.180798178,0.060684356,0.084654897,0.104203809,0.072184022,0.182332477,0.115613529,0.065158781,0.090896736,0.111887043,0.068321782,0.172576693,0.109427573
14/07/2017 06.00,0.138329752,0.155293791,0.140837098,0.266635548,0.253662552,0.239163478,0.11146449,0.13111485,0.160138861,0.185973622,0.253658062,0.20453654,0.075117575,0.10557427,0.113575472,0.078481426,0.18212047,0.136967938,0.075358737,0.105913212,0.113940101,0.069222733,0.160635162,0.120809412
14/07/2017 07.00,0.082564551,0.163319877,0.097947144,0.223470697,0.238843871,0.289077049,0.092635749,0.13359269,0.186164147,0.152651084,0.237846851,0.247828512,0.066145249,0.12373252,0.172905087,0.055272621,0.190645802,0.190477994,0.057895701,0.108300763,0.151340593,0.047797641,0.164863171,0.164718057
14/07/2017 08.00,0.308043519,0.168321473,0.247826226,0.15531601,0.236957461,0.310356866,0.099730136,0.1374374,0.214587743,0.132309372,0.23936668,0.281404048,0.099881015,0.128343173,0.217757922,0.028628123,0.193937376,0.244061048,0.082303132,0.105756286,0.179435091,0.02730339,0.184963151,0.232767409
14/07/2017 09.00,0.086131721,0.168683773,0.292340704,0.076945224,0.232385182,0.388057051,0.118757285,0.144430729,0.212505259,0.082304139,0.234201263,0.295152935,0.125620512,0.145970783,0.229710394,0.041365299,0.251766849,0.327253573,0.100670199,0.11697857,0.184086108,0.031801773,0.193559149,0.251593581
14/07/2017 10.00,0.011739824,0.182621064,0.295004751,0.041214011,0.22658317,0.340337672,0.113864425,0.139099777,0.188957752,0.169381983,0.221388363,0.269932324,0.093143445,0.129689454,0.173374874,0.065061916,0.239062788,0.249623132,0.093065901,0.129581485,0.173230536,0.056160988,0.206357318,0.215472932
14/07/2017 11.00,0.013633959,0.193053965,0.514993196,0.009970412,0.214733523,0.311914906,0.083361063,0.121438628,0.172799434,0.074793386,0.203073801,0.229643184,0.123170547,0.163572037,0.231912791,0.165950064,0.251637642,0.224268814,0.079257882,0.105255465,0.149231429,0.130764026,0.198283449,0.176717575
14/07/2017 12.00,0.054703889,0.177289301,0.38526806,0.102024254,0.208622266,0.277543517,0.0724982,0.121059454,0.159612724,0.091319488,0.192225928,0.222481396,0.107876137,0.117134477,0.154109473,0.070922228,0.247262079,0.223129451,0.09187695,0.099762179,0.131253386,0.059810984,0.208524022,0.188172205
14/07/2017 13.00,0.089569867,0.142024164,0.170738758,0.245255192,0.198682303,0.258849355,0.062723683,0.115292445,0.146061483,0.127818432,0.178353311,0.208878926,0.051615986,0.074620364,0.090618179,0.040508651,0.204715687,0.204226419,0.06719935,0.097148971,0.11797668,0.032950551,0.166519858,0.166121878
